1;2775.14;10.10;1582.61;small
1;2751.32;10.10;1550.50;small
1;2790.45;10.10;1567.52;small
2;2756.83;10.40;1597.02;small
2;2738.42;11.80;1572.43;small
2;2765.41;11.80;1619.88;small
3;2716.97;11.20;1677.56;small
3;2730.76;11.50;1651.29;small
4;2663.00;10.05;1586.00;small
4;2684.00;9.98;1614.00;small
5;2873.00;9.65;1541.00;big
5;2900.00;12.00;1526.00;big
5;2900.00;9.60;1570.00;big
6;2928.00;9.78;1555.00;big
6;2960.60;9.70;1602.53;big
6;2950.90;9.90;1572.46;big
7;2966.00;10.63;1528.00;big
7;2982.94;11.20;1490.72;big
7;2934.00;12.05;1489.00;big
8;3050.17;9.80;1593.15;big
8;2999.02;9.70;1580.72;big
8;3020.17;9.80;1553.86;big
9;3142.00;9.50;1824.00;big
9;3137.00;9.50;1742.00;big
10;3026.00;10.38;1661.00;big
10;2951.00;9.70;1638.00;big
10;3047.00;10.10;1714.00;big
11;2917.00;14.55;1725.00;big
11;2961.00;13.10;1764.00;big
12;3243.00;10.70;1923.00;big
12;3151.00;11.53;1954.00;big
12;3089.00;11.55;1885.00;big
13;3180.00;9.50;1777.00;big
13;3248.00;9.53;1804.00;big
14;3832.00;10.30;1761.00;big
14;3775.00;10.50;1657.00;big
14;3921.00;9.80;1669.00;big
16;2800.00;9.50;1783.00;big
16;2821.00;9.50;1650.00;big
17;3423.24;18.30;828.68;big
17;3490.98;10.70;740.07;big
18;2754.00;9.50;1518.00;small
18;2836.00;9.50;1555.00;small
19;2883.00;10.38;1476.00;big
19;2852.00;9.70;1519.00;big
19;2837.00;10.00;1477.00;big
20;2805.00;10.40;1404.00;big
20;2853.00;13.40;1430.00;big
20;2843.00;10.32;1391.00;big
21;2897.29;12.50;1410.01;big
21;2927.26;14.70;1451.49;big
22;3023.07;12.50;1518.94;big
22;3065.25;12.10;1508.88;big
23;3055.85;13.30;1327.96;big
23;2996.00;11.45;1380.00;big
23;3030.00;12.95;1353.00;big
24;3130.00;13.57;1351.00;big
24;3126.00;11.38;1396.00;big
25;3149.00;10.68;1320.00;big
25;3166.00;9.50;1288.00;big
26;3227.00;9.88;1357.00;big
26;3188.00;11.35;1370.00;big
27;3085.00;10.13;1450.00;big
27;3129.00;9.80;1461.00;big
28;3650.00;9.80;996.00;big
28;3466.00;11.88;1059.00;big
28;3521.00;12.48;909.00;big
29;3089.00;9.50;1209.00;big
29;3029.00;9.50;1248.00;big
30;3260.00;9.50;1382.00;big
30;3359.00;9.50;1389.00;big
31;4025.00;10.20;816.00;big
31;4015.00;11.07;883.00;big
31;4066.00;13.75;757.00;big
32;1155.00;9.50;410.00;big
32;1245.00;9.50;119.00;big
33;348.00;9.50;1930.00;big
33;792.00;9.50;1901.00;big
33;567.00;13.05;1987.00;big
34;1544.00;9.70;1006.00;small
34;1458.00;9.50;1066.00;small
35;1727.00;11.93;128.00;big
35;1730.00;14.65;283.00;big
36;2024.00;11.30;1989.00;big
36;2138.00;14.23;1954.00;big
37;3199.00;10.30;1702.00;big
37;3155.00;10.43;1639.00;big
37;3213.00;9.80;1657.00;big
38;3126.72;10.10;1547.12;big
38;3120.39;11.50;1521.42;big
38;3075.55;9.80;1552.30;big
39;3185.44;9.80;1507.18;big
39;3164.31;10.10;1544.90;big
39;3203.71;10.50;1551.30;big
40;3639.00;10.05;1634.00;big
40;3538.00;9.80;1712.00;big
40;3647.00;10.20;1722.00;big
40;3546.00;10.75;1623.00;big
41;2751.00;13.28;1350.00;big
41;2804.00;10.50;1356.00;big
42;2735.00;9.50;1437.00;small
42;2670.00;9.50;1407.00;small
43;2643.00;9.50;1526.00;big
43;2610.00;9.50;1665.00;big
44;2414.00;9.50;1852.00;big
44;2294.00;9.50;1931.00;big
45;2877.00;9.50;1939.00;big
45;2650.00;9.50;1933.00;big
46;3464.00;9.50;1939.00;big
46;3186.00;9.50;2023.00;big
47;2588.00;9.50;1347.00;big
47;2532.00;9.50;1241.00;big
48;2527.00;9.50;1047.00;big
48;2616.00;9.50;1172.00;big
49;2431.00;9.50;1506.00;big
49;2307.00;9.50;1671.00;big
50;1867.00;9.50;1978.00;big
50;2078.00;9.50;1765.00;big
51;2191.00;9.50;1473.00;big
51;2321.00;9.50;1332.00;big
52;1330.00;9.50;1194.00;big
52;1363.00;9.50;1299.00;big
53;1848.00;9.50;1095.00;big
53;1606.00;9.50;1175.00;big
54;1778.00;9.50;1570.00;big
54;1701.00;9.50;1492.00;big
55;1875.00;9.50;1693.00;big
55;1913.00;9.50;1575.00;big
56;2034.00;9.50;1461.00;big
56;2089.00;9.50;1303.00;big
57;1811.00;9.50;1263.00;big
57;1827.00;9.60;1412.00;big
58;2355.00;9.50;1038.00;big
58;2265.00;9.50;1153.00;big
59;2001.00;9.50;1114.00;big
59;2087.00;9.50;952.00;big
60;3854.00;9.50;724.00;big
60;3782.00;9.50;509.00;big
61;2296.00;9.50;872.00;big
61;2491.00;9.50;826.00;big
62;2874.00;9.50;404.00;big
62;2696.00;9.50;581.00;big
63;1619.00;9.50;96.00;big
63;1844.00;9.50;81.00;big
64;2338.00;9.50;117.00;big
64;2025.00;9.50;104.00;big
65;3028.00;9.50;119.00;big
65;3300.00;9.50;58.00;big
66;2210.00;9.50;377.00;big
66;2433.00;9.50;538.00;big
67;2649.00;9.50;149.00;big
67;2853.00;9.50;100.00;big
68;2795.00;9.50;1263.00;big
68;2874.00;9.50;1316.00;big
69;3197.00;11.43;1233.00;big
69;3317.00;11.05;1229.00;big
70;3599.00;9.50;1431.00;big
70;3618.00;9.50;1344.00;big
71;4264.00;9.50;570.00;big
71;4072.00;9.50;529.00;big
